"","Country","Region","Market","Product","Date","Open","High","Low","Close","Currency"
"","Cameroon","Market Average","Market Average","maize","2015-09-01","189.97","198.99","180.95","191.37","XAF"
"","Cameroon","Market Average","Market Average","maize","2015-10-01","191.38","200.35","181.66","181.66","XAF"
"","Cameroon","Market Average","Market Average","maize","2015-11-01","181.63","190.31","172.95","175.53","XAF"
"","Cameroon","Market Average","Market Average","maize","2015-12-01","175.52","183.88","166.16","166.16","XAF"
"","Cameroon","Market Average","Market Average","maize","2016-01-01","166.14","185.68","158.09","185.68","XAF"
"","Cameroon","Market Average","Market Average","maize","2016-02-01","185.74","195.81","175.67","176.83","XAF"
"","Cameroon","Market Average","Market Average","maize","2016-03-01","176.81","192.48","167.46","192.48","XAF"
"","Cameroon","Market Average","Market Average","maize","2016-04-01","192.52","203.01","180.82","180.82","XAF"
"","Cameroon","Market Average","Market Average","maize","2016-05-01","180.79","190.5","171.08","189.14","XAF"
"","Cameroon","Market Average","Market Average","maize","2016-06-01","189.17","199.08","179.25","189.74","XAF"
"","Cameroon","Market Average","Market Average","maize","2016-07-01","189.74","199.32","180.17","197.51","XAF"
"","Cameroon","Market Average","Market Average","maize","2016-08-01","197.53","207.38","187.68","204.82","XAF"
"","Cameroon","Market Average","Market Average","maize","2016-09-01","204.83","214.93","194.74","195.11","XAF"
"","Cameroon","Market Average","Market Average","maize","2016-10-01","195.09","204.71","185.47","198.81","XAF"
"","Cameroon","Market Average","Market Average","maize","2016-11-01","198.82","208.44","174.51","174.51","XAF"
"","Cameroon","Market Average","Market Average","maize","2016-12-01","174.46","184","164.92","173.14","XAF"
"","Cameroon","Market Average","Market Average","maize","2017-01-01","173.14","182.17","164.11","174.27","XAF"
"","Cameroon","Market Average","Market Average","maize","2017-02-01","174.28","183.04","165.51","174.07","XAF"
"","Cameroon","Market Average","Market Average","maize","2017-03-01","174.07","190.01","165.56","190.01","XAF"
"","Cameroon","Market Average","Market Average","maize","2017-04-01","190.05","226.35","180.17","226.35","XAF"
"","Cameroon","Market Average","Market Average","maize","2017-05-01","226.45","241.3","211.6","228.18","XAF"
"","Cameroon","Market Average","Market Average","maize","2017-06-01","228.18","241.98","214.38","217.08","XAF"
"","Cameroon","Market Average","Market Average","maize","2017-07-01","217.05","241.32","204.56","241.32","XAF"
"","Cameroon","Market Average","Market Average","maize","2017-08-01","241.39","257.82","226.99","257.82","XAF"
"","Cameroon","Market Average","Market Average","maize","2017-09-01","257.86","284.42","242.93","284.42","XAF"
"","Cameroon","Market Average","Market Average","maize","2017-10-01","284.49","301.31","267.67","267.95","XAF"
"","Cameroon","Market Average","Market Average","maize","2017-11-01","267.91","283.17","236.2","236.2","XAF"
"","Cameroon","Market Average","Market Average","maize","2017-12-01","236.13","250.28","205.91","205.91","XAF"
"","Cameroon","Market Average","Market Average","maize","2018-01-01","205.84","218.78","192.91","199.22","XAF"
"","Cameroon","Market Average","Market Average","maize","2018-02-01","199.21","210.91","187.5","200.78","XAF"
"","Cameroon","Market Average","Market Average","maize","2018-03-01","200.79","211.88","189.7","202.01","XAF"
"","Cameroon","Market Average","Market Average","maize","2018-04-01","202.01","212.63","191.39","198.09","XAF"
"","Cameroon","Market Average","Market Average","maize","2018-05-01","198.08","217.79","188.02","217.79","XAF"
"","Cameroon","Market Average","Market Average","maize","2018-06-01","217.84","229.59","206.09","220.5","XAF"
"","Cameroon","Market Average","Market Average","maize","2018-07-01","220.5","231.89","209.1","222.26","XAF"
"","Cameroon","Market Average","Market Average","maize","2018-08-01","222.27","233.37","201.91","201.91","XAF"
"","Cameroon","Market Average","Market Average","maize","2018-09-01","201.86","212.5","191.22","204.59","XAF"
"","Cameroon","Market Average","Market Average","maize","2018-10-01","204.6","214.98","194.21","198.67","XAF"
"","Cameroon","Market Average","Market Average","maize","2018-11-01","198.66","208.52","188.79","207.32","XAF"
"","Cameroon","Market Average","Market Average","maize","2018-12-01","207.34","217.59","197.1","200.27","XAF"
"","Cameroon","Market Average","Market Average","maize","2019-01-01","200.25","216.12","190.47","216.12","XAF"
"","Cameroon","Market Average","Market Average","maize","2019-02-01","216.16","227.17","205.15","215.83","XAF"
"","Cameroon","Market Average","Market Average","maize","2019-03-01","215.83","226.49","205.17","220.51","XAF"
"","Cameroon","Market Average","Market Average","maize","2019-04-01","220.52","231.22","209.83","215.08","XAF"
"","Cameroon","Market Average","Market Average","maize","2019-05-01","215.07","225.37","204.77","222.1","XAF"
"","Cameroon","Market Average","Market Average","maize","2019-06-01","222.12","232.72","211.53","220.21","XAF"
"","Cameroon","Market Average","Market Average","maize","2019-07-01","220.2","230.57","209.84","219.42","XAF"
"","Cameroon","Market Average","Market Average","maize","2019-08-01","219.42","229.63","209.2","216.76","XAF"
"","Cameroon","Market Average","Market Average","maize","2019-09-01","216.75","226.78","206.72","223.64","XAF"
"","Cameroon","Market Average","Market Average","maize","2019-10-01","223.65","234.06","213.25","214.91","XAF"
"","Cameroon","Market Average","Market Average","maize","2019-11-01","214.89","224.98","204.79","223.74","XAF"
"","Cameroon","Market Average","Market Average","maize","2019-12-01","223.77","234.37","211.9","211.9","XAF"
"","Cameroon","Market Average","Market Average","maize","2020-01-01","211.87","222.09","190.74","190.74","XAF"
"","Cameroon","Market Average","Market Average","maize","2020-02-01","190.69","200.67","180.72","187.74","XAF"
"","Cameroon","Market Average","Market Average","maize","2020-03-01","187.74","197.22","178.26","189.92","XAF"
"","Cameroon","Market Average","Market Average","maize","2020-04-01","189.93","199.26","180.6","191.03","XAF"
"","Cameroon","Market Average","Market Average","maize","2020-05-01","191.03","200.21","181.85","192.82","XAF"
"","Cameroon","Market Average","Market Average","maize","2020-06-01","192.82","201.95","183.7","196.74","XAF"
"","Cameroon","Market Average","Market Average","maize","2020-07-01","196.74","219.12","187.51","219.12","XAF"
"","Cameroon","Market Average","Market Average","maize","2020-08-01","219.19","234.48","207.6","234.48","XAF"
"","Cameroon","Market Average","Market Average","maize","2020-09-01","234.51","246.96","222.06","242.17","XAF"
"","Cameroon","Market Average","Market Average","maize","2020-10-01","242.18","254.65","219.66","219.66","XAF"
"","Cameroon","Market Average","Market Average","maize","2020-11-01","219.6","246.92","207.77","246.92","XAF"
"","Cameroon","Market Average","Market Average","maize","2020-12-01","247.01","261.43","229.07","229.07","XAF"
"","Cameroon","Market Average","Market Average","maize","2021-01-01","229.03","242.15","215.91","223.57","XAF"
